code,title,description,prereqs,credits,prereq_type,area
ENTS632 , Telecommunications Marketing Management ," Topics covered include strategic marketing, sales and customer service challenges confronting organizations in the computer, communications and media industries. The course also addresses volatile technology, regulatory and competitive environments as a backdrop to strategic planning and management in the marketing domain. ", None ,3,None,ENTS
ENTS635 , Decision Support Methods for Telecommunication Managers ," The aim of this course is to introduce management science techniques for informed decision making. Topics covered can include data analysis and regression, optimization models and applications (workforce scheduling, manufacturing, network design, facility location), sensitivity analysis, decision trees, risk analysis and business simulation models. Emphasis will be on telecommunications managerial problems, model development and the use of software packages for decision support. ", None ,3,None,ENTS
ENTS641 , Networks and Protocols II ," Techniques for the specification, design, analysis, verification and testing of communication protocols are discussed. The course includes detailed discussion on routing protocols in the Internet. This includes Routing Information Protocol (RIP), Enchanced Interior Gateway Routing Protocol (EIGRP). Open Shortest Path First (OSPF), and Border Gateway Protocol (BGP4). ", ENTS640.   ,3,Hard,ENTS
INFM605 , Users and Use Context ," Use of information by individuals. Nature of information. Information behavior and mental models. Characteristics of problems, task analysis, problem solving, and decision making. Methods for determining information behavior and user needs. Information access. Information technology as a tool in information use. ", None ,3,None,INFM
INFM612 , Management Concepts and Principles for Information Professionals ," Key aspects of management - focusing on planning, organizing, leading and controlling. The evolution of management, innovative management for the changing world, management styles and leadership, managerial planning, goal setting and decision making. Ethical issues, designing adaptive organizations responding to change, global environment, diversity, and utilizing the appropriate technology to provide effective management of information programs and services. ", None ,3,None,INFM
INFM620 , Introduction to Strategic Information Management ," Strategic management is the comprehensive collection of tasks, activities, and processes organizations use to coordinate and align resources and actions with its mission, vision, and strategy. Due to changes occurring in our global landscape, the integration of business and technology is compelling organizations to move beyond traditional, reactive, and silo-based data management approaches to a managed, predictive approach that treats information as a strategic asset and uses it to create business value. To meet challenges of this hyper-competitive environment, this course will provide you with an introduction to the strategic management of information assets for competitive differentiation and sustained business success. ", INFM612; or LBSC631; or permission of instructor.  ,3,Flexible,INFM
INFM700 , Information Architecture ," Principles and techniques of information organization and architecture for the Web environment. Structured description of digital resources, including data modeling techniques, metadata schemes, and user-oriented navigation systems. ", INFM603; or permission of instructor.   ,3,Flexible,INFM
INFM737 , Information Management Capstone Experience ," The Information Management Capstone Experience I and II are the culminating experience of the Master of Information Management program, taken in the students final two semesters. The capstone experience provide students with the opportunity to integrate and synthesize the knowledge and skills acquired throughout their MIM course work while working in a real world Information Management project. These courses must be taken in succession. ", INFM736; and must have earned a minimum of 27 credits in the MIM Program. Or permission of instructor.   ,3,Flexible,INFM
INST126 , Introduction to Programming for Information Science ," An introduction to computer programming for students with very limited or no previous programming experience. Topics include fundamental programming concepts such as variables, data types, assignments, arrays, conditionals, loops, functions, and I/O operations. ", Minimum grade of C- in MATH115; or must have math eligibility of MATH140 or higher; or permission of instructor.  ,3,Flexible,INST
INST155 , Social Networking ," Introduces methods for analyzing and understanding how people use social media - social networking websites, blogging and microblogging, and other forms of online interaction and content generation - and their societal implications. Introduces students to the science and social science of network analysis. Through real world examples, including analysis of their own social networks, students develop skills for describing and understanding the patterns and usage of services like Facebook, Twitter, YouTube, and others. ", None ,3,None,INST
INST201 , Introduction to Information Science ," Examining the effects of new information technologies on how we conduct business, interact with friends, and go through our daily lives. Understanding how technical and social factors have influenced the evolution of information society. Evaluating the transformative power of information in education, policy, and entertainment, and the dark side of these changes. ", None ,3,None,INST
INST311 , Information Organization ," Examines the theories, concepts, and principles of information, information representation and organization, record structures, description, and classification. Topics to be covered in this course include the methods and strategies to develop systems for storage, organization, and retrieval of information in a variety of organizational and institutional settings, as well as policy, ethical, and social implications of these systems. ", None ,3,None,INST
INST314 , Statistics for Information Science ," Basic concepts in statistics including measure construction, data exploration, hypothesis development, hypothesis testing, pattern identification, and statistical analysis. The course also provides an overview of commonly used data manipulation and analytic tools. Through homework assignments, projects, and in-class activities, you will practice working with these techniques and tools to create information resources that can be used in individual and organizational decision-making and problem-solving. ", Minimum grade of C- in STAT100 and MATH115 (or higher).  ,3,Flexible,INST
INST326 , Object-Oriented Programming for Information Science ," An introduction to programming, emphasizing understanding and implementation of applications using object-oriented techniques. Topics to be covered include program design and testing as well as implementation of programs. ", Minimum grade of C- in INST126.  ,3,Hard,INST
INST327 , Database Design and Modeling ," Introduction to databases, the relational model, entity-relationship diagrams, user-oriented database design and normalization, and Structured Query Language (SQL). Through labs, tests, and a project, students develop both theoretical and practical knowledge of relational database systems. ", Minimum grade of C- in INST126.  ,3,Hard,INST
INST335 ," Organizations, Management and Teamwork "," Examines principles, methods and types of leadership with an emphasis on goal setting, motivation, problem solving, and conflict resolution. Examines principles of developing teams and managing team projects through planning and execution, including estimating costs, managing risks, scheduling, staff and resource allocation, communication, tracking, and control. Trains students to recognize and capitalize on opportunities to use information to increase efficiency, improve performance, and support innovation within teams and organizations. Focuses on strategic use of emerging technologies and new information resources to execute information-enabled change. "," 1 course with a minimum grade of C- from (INST201, INST301); and minimum grade of C- in PSYC100.   ",3,Hard,INST
INST346 ," Technologies, Infrastructure and Architecture "," Examines the basic concepts of computer hardware, systems software, networking, client/server architectures, cloud computing, distributed systems, and high performance computing as applied to information rich domains. Technology and architectures will be discussed within the contexts of solving social issues, supportingscience, and conducting business operations. Current computing topics such as web environments, IoT, security, management, and policy will also be reviewed. "," 1 course with a minimum grade of C- from (INST201, INST301); and 1 course with a minimum grade of C- from (INST326, CMSC131); and minimum grade of C- in INST327.   ",3,Hard,INST
INST352 , Information User Needs and Assessment ," Focuses on use of information by individuals, including the theories, concepts, and principles of information, information behavior and mental models. Methods for determining information behavior and user needs, including accessibility issues will be examined and strategies for using information technology to support individual users and their specific needs will be explored. "," 1 course with a minimum grade of C- from (INST201, INST301); and minimum grade of C- in INST311.   ",3,Hard,INST
INST354 , Decision-Making for Information Science ," Examines the use of information in organizational and individual decision-making, including the roles of information professionals and information systems in informed decision-making through techniques such as data analysis and regression, optimization, sensitivity analysis, decision trees, risk analysis and business simulation models. "," 1 course with a minimum grade of C- from (INST201, INST301); and minimum grade of C- in INST126, INST314, MATH115, STAT100, and PSYC100.   ",3,Hard,INST
INST362 , User-Centered Design ," Introduction to human-computer interaction (HCI), with a focus on how HCI connects psychology, information systems, computer science, and human factors. User-centered design and user interface implementation methods discussed include identifying user needs, understanding user behaviors, envisioning interfaces, and utilizing prototyping tools, with an emphasis on incorporating people in the design process from initial field observations to summative usability testing. "," 1 course with a minimum grade of C- from (INST201, INST301); and minimum grade of C- in INST326; and minimum grade of C- in PSYC100.  ",3,Hard,INST
INST366 ," Privacy, Security and Ethics for Big Data "," Evaluates major privacy and security questions raised by big data, Internet of things (IoT), wearables, ubiquitous sensing, social sharing platforms, and other AI-driven systems. Covers history of research ethics and considers how ethical frameworks can and should be applied to digital data. ", INST201 or INST301; or permission of instructor. ,3,Flexible,INST
INST377 , Dynamic Web Applications ," An exploration of the basic methods and tools for developing dynamic, database-driven websites, including acquiring, installing, and running web servers, database servers, and connectability applications. "," 1 course with a minimum grade of C- from (INST201, INST301); and minimum grade of C- in INST126, INST327, STAT100, MATH115, and PSYC100.   ",3,Hard,INST
INST414 , Data Science Techniques ," An exploration of how to extract insights from large-scale datasets. The course will cover the complete analytical funnel from data extraction and cleaning to data analysis and insights interpretation and visualization. The data analysis component will focus on techniques in both supervised and unsupervised learning to extract information from datasets. Topics will include clustering, classification, and regression techniques.  Through homework assignments, a project, exams and in-class activities, students will practice working with these techniques and tools to extract relevant information from structured and unstructured data. "," 1 course with a minimum grade of C- from (INST201, INST301); and minimum grade of C- in INST126, INST314, STAT100, MATH115, and PSYC100.   ",3,Hard,INST
INST441 , Information Ethics and Policy ," Explores via case studies the legal, ethical, and technological challenges in developing and implementing policies for managing digital assets and information. Emphasizes access questions pertinent to managing sensitive information and the roles and responsibilities of information professionals. ", INST341; or permission of instructor. ,3,Flexible,INST
INST443 , Tools and Methods for Digital Curation ," Introduces students to the application of digital tools and methods in a variety of organizational settings, academic disciplines, and economic sectors. Hands-on experience with digital curation tools is an integral part of the course, and will be provided in the Digital Curation Innovation Center (DCIC). ", Must have completed or be concurrently enrolled in INST341. ,3,Flexible,INST
INST447 , Data Sources and Manipulation ," Examines approaches to locating, acquiring, manipulating, and disseminating data. Imperfection, biases, and other problems in data are examined, and methods for identifying and correcting such problems are introduced. The course covers other topics such as automated collection of large data sets, and extracting, transforming, and reformatting a variety of data and file types. "," 1 course with a minimum grade of C- from (INST201, INST301); and minimum grade of C- in INST126, INST327, STAT100, MATH115, and PSYC100; and 1 course with a minimum grade of C- from (INST326, CMSC131).   ",3,Hard,INST
INST462 , Introduction to Data Visualization ," Exploration of the theories, methods, and techniques of visualization of information, including the effects of human perception, the aesthetics of information design, the mechanics of visual display, and the semiotics of iconography. "," 1 course with a minimum grade of C- from (INST201, INST301); and minimum grade of C- in INST126, INST314, MATH115, PSYC100, and STAT100.   ",3,Hard,INST
INST464 , Decision Making for Cybersecurity ," Discusses human and organizational decision making from a variety of perspectives. Applies different risk assessment and decision making frameworks that are relevant to personal and organization cybersecurity, with a focus on the quantitative Factor Analysis of Information Risk (FAIR) model. Considers monetary, social and societal costs of cybersecurity decisions. Considers a range of questions relating to cybersecurity, from whether to install a game on a smartphone to how to allocate scarce information security resources in an organization. "," Must have earned a minimum grade of C- in INST201, INST126, MATH115, PSYC100, and INST364.  ",3,Hard,INST
INST466 ," Technology, Culture, and Society "," Individual, cultural, and societal outcomes associated with development of information & communication technologies (ICTs), including pro- and anti-social factors. Unpacking how gender, race, ethnicity, sexual orientation, disabilities, and political affiliations affect consumption and production of online experiences. Unpacking how structures of dominance, power and privilege manifest at individual, institutional and cultural levels. "," 1 course with a minimum grade of C- from (INST201, INST301).   ",3,Hard,INST
INST467 , Practical Hacking for Policy Makers ," Explores the key issues facing policy makers attempting to manage the problem of cybersecurity from its technical foundations to the domestic and international policy considerations surrounding governance, response, critical infrastructure risk management, and privacy. Designed for students with little to no background in information technology, and will provide the principles to understand the current debates shaping a rapidly evolving security landscape. "," Minimum grade of C- in INST126, INST201, INST364, MATH115, STAT100, and PSYC100.   ",3,Hard,INST
INST490 , Integrated Capstone for Information Science ," The capstone provides a platform for Information Science students where they can apply a subset of the concepts, methods, and tools they learn as part of the Information Science program to addressing an information problem or fulfilling an information need. "," 1 course with a minimum grade of C- from (INST201, INST301); and minimum grade of C- in INST126, INST311, INST314, INST326, INST327, INST335, INST346, INST352, INST362, PSYC100, STAT100, and MATH115.   ",3,Hard,INST
INST604 , Introduction to Archives and Digital Curation ," Overview of the principles, practices, and applications in the archival and digital curation fields. ", None ,3,None,INST
INST612 , Information Policy ," Nature, structure, development and application of information policy. Interactions of social objectives, stakeholders, technology and other forces that shape policy decisions. ", None ,3,None,INST
INST614 , Literacy and Inclusion , The educational and psychological dimensions of helping and supporting new users to become information literate and experienced users to remain engaged. , None ,3,None,INST
INST616 , Open Source Intelligence ," An introduction to Open Source Intelligence (OSINT) for Information Professionals. For the purposes of this course, OSINT will be defined as the use of free, publicly available online sources that can be used to gather information that may be later used to conduct analysis or reach conclusions. Students will learn basic and advanced techniques for using search engines, people directories, social media networks, location-based services, images and videos, public records, and other sources. The course will also offer students more technical aspects of open-source information, including domains, IP addresses, and the deep web. Throughout the modules, data quality and validation procedures will be key topics. ", None ,3,None,INST
INST622 , Information and Universal Usability ," Information services and technologies to provide equal experiences and outcomes to all users. Laws, standards, approaches, component concepts, access needs, and technologies in relation to physical and online information environments. ", None ,3,None,INST
INST630 , Introduction to Programming for the Information Professional , An introduction to computer programming intended for students with no previous programming experience.  Topics include fundamentals of programming and current trends in user interface implementation that are relevant to information professionals. , None ,3,None,INST
INST641 , Policy and Ethics in Digital Curation ," Discussion of strategies to address intellectual property, privacy, security and other policy and ethics concerns raised by the curation of digital records and data. ", INST604; or INST640; or permission of instructor.  ,3,Flexible,INST
INST644 , Introduction to Digital Humanities ," A survey of the history, methods, and principal topics of the Digital Humanities, examined from theoretical and applied perspectives. ", None ,3,None,INST
INST646 , Principles of Records and Information Management ," Principles and practices of managing records in the context of information management programs in government, corporate and other institutional settings. Includes access; legal requirements; digital technologies; and creation, administration, appraisal, and retention and disposition of records. ", None ,3,None,INST
INST652 , Design Thinking and Youth ," Methods of design thinking specifically within and for youth contexts, including user-centered design, understanding user needs, ideation, contextual design, participatory design, iterative prototyping, and visual design. These topics will specifically be studied in the context of designing with and for youth. ", None ,3,None,INST
INST706 , Project Management ," Comprehensive overview of project management, focusing on the needs of information resource (IR) projects. Concepts and techniques for planning and execution of projects including developing work breakdown structure, estimating costs, managing risks, scheduling, staff and resource allocation, team building, communication, monitoring, control, and other aspects of successful project completion. ", INFM603 and INFM612; or (LBSC631 and LBSC671); or (LBSC635 and LBSC670); or permission of instructor.   ,3,Flexible,INST
INST711 , Interaction Design Studio ," Covers basic interaction design principles and design process from a studio-based design perspective. Focuses on how to design for interactions that will resonate with your audiences: how the features and functions of a project get translated into something people find usable, useful, and desirable. Explores the role of interaction designers. Students design and prototype interactive products, systems, and services. ", Must have completed or be concurrently enrolled in INST631 and INST710. ,3,Flexible,INST
INST733 , Database Design , Principles of user-oriented database design.  Requirements analysis. Data modelling.  Data integrity and security and multi-user databases. Implementing an information system using a database management system (DBMS). ," LBSC690, LBSC671, or INFM603; or permission of instructor.   ",3,Flexible,INST
INST736 , Computational Linguistics II ," Natural language processing with a focus on corpus-based statistical techniques. Topics include: stochastic language modeling, smoothing, noisy channel models, probabilistic grammars and parsing; lexical acquisition, similarity-based methods, word sense disambiguation, statistical methods in NLP applications; system evaluation. "," LING723, CMSC723, or INST735; or permission of instructor.   ",3,Flexible,INST
INST737 , Introduction to Data Science ," An exploration of some of the best and most general approaches to get the most information out of data through clustering, classification, and regression techniques. "," INST627; and (LBSC690, LBSC671, or INFM603). Or permission of instructor.   ",3,Flexible,INST
INST742 , Implementing Digital Curation ," Management of and technology for application of digital curation principles in specific settings.   Characteristics, representation, conversion, and preservation of digital objects.  Application of standards for digitization, description, and preservation.  Planning for sustainability, risk mitigation and disaster recovery. ", INST604; or permission of instructor.   ,3,Flexible,INST
INST746 , Digitization of Legacy Holdings ," Through hands on exercises and real-world projects, students will learn how to incorporate digitization of analog holdings into an existing archival program and how to link records of different formats and from different collections together. ", INST604.   ,3,Hard,INST
INST754 , Data Integration and Preparation for Analytics ," Provides a comprehensive overview of the end-to-end processes for acquiring, ingesting, managing, cleansing, transforming and integrating data sources for the purposes of reporting andanalytics. Concepts include data acquisition, data streaming, data staging, standardization, data quality, concept and metadata harmonization, transformation, and data modeling. Students will learn how ingested data sets can be transformed, integrated, and prepared for analytical use. "," INFM600, INFM603, INST630, and INST733; or permission of INFO-College of Information Studies. ",3,Flexible,INST
INST762 , Visual Analytics ," Visual analytics is the use of interactive visual interfaces to facilitate analytical reasoning. In essence, visual analytics is based on the--not uncontroversial--idea that humans and computers working alone are insufficient for the data challenges of today and tomorrow, and that effective synthesis of both humans and computational algorithms are needed to create human-in-the-loop systems. Thus, visual analytics bridges human-centered disciplines such as visualization and human-computer interaction with computation-centered disciplines such as machine learning, probabilistic methods, and knowledge discovery. The course contents will include both theoretical foundations of this interdisciplinary science as well as practical applications of integrated visual analysis techniques on real-world problems. ", INFM603 or INST630; or permission of instructor.  ,3,Flexible,INST
INST765 , Programming on the Web ," Non-programmers will learn basic programming and how to develop familiarity with web formatting and programming paradigms, including XML, REST, APIs, and authentication schemes. The class begins with an introduction to basic programming and students build on those skills by programming applications that use web-based data and services. "," INFM603, LBSC690, LBSC671, or INST733; or permission of instructor.   ",3,Flexible,INST
INST767 , Big Data Infrastructure , Principles and techniques of data science and business intelligence. Technologies and architectures for large-scale data warehousing and scale-out data analytics platforms. Supervised and unsupervised data mining. , INST737; or permission of instructor.   ,3,Flexible,INST
INST776 , HCIM CAPSTONE PROJECT ," The opportunity to apply the skills learned through coursework in a semester-long project applied to a real -world problem. Capstone projects may follow the design, prototyping and evaluation process from end-to-end or may focus on a subset of elements in that process, such as formative study and design. ", INST775; or permission of instructor.   ,3,Flexible,INST
INST785 ," Documentation, Collection, and Appraisal of Records ", Development of documentation strategies and plans; collecting policies to guide programs in acquiring records; theories and techniques for appraising records to identify those with continuing value. , INST604; or permission of instructor.   ,3,Flexible,INST
INST810 , Individual Research Experience , Pre-candidacy individual research experience directed by a faculty member. , None ,3,None,INST
MATH107 , Introduction to Math Modeling and Probability ," A goal is to convey the power of mathematics as shown by a variety of problems which can be modeled and solved by quantitative means.  Also included is an introduction to probability.  Topics include data analysis, equations, systems of equations, inequalities, elementary linear programming, Venn diagrams, counting, basic probability, permutations, combinations, tree diagrams, standard normal and normal distributions. The mathematics of finance is covered.  The course includes problem solving and decision making in economics, management, and social sciences. ", Must have math eligibility of Math 107 or higher; and math eligibility is based on Math Placement Exam or successful completion of MATH003 with appropriate eligibility.   ,3,Flexible,MATH
MATH113 , College Algebra and Trigonometry ," Topics include elementary functions including graphs and applications of: polynomial, rational, exponential, and logarithmic functions. Systems of equations and applications. Trigonometric functions: angle and radian measure, graphs and applications. ", Must have math eligibility of MATH113 or higher; and math eligibility is based on the Math Placement Exam or the successful completion of MATH 003 with appropriate eligibility.   ,3,Flexible,MATH
MATH115 , Precalculus ," Preparation for MATH120, MATH130 or MATH140. Elementary functions and graphs: polynomials, rational functions, exponential and logarithmic functions, trigonometric functions. Algebraic techniques preparatory for calculus. ", Must have math eligibility of MATH115 or higher; and math eligibility is based on the Math Placement Exam or the successful completion of MATH003 with appropriate eligibility. Or MATH113.  ,3,Flexible,MATH
MATH120 , Elementary Calculus I ," Basic ideas of differential and integral calculus, with emphasis on elementary techniques of differentiation and applications. "," 1 course with a minimum grade of C- from (MATH112, MATH113, MATH115). Or must have math eligibility of MATH120 or higher; and math eligibility is based on the Math Placement Test.   ",3,Flexible,MATH
MATH121 , Elementary Calculus II ," Differential and integral calculus, with emphasis on elementary techniques of integration and applications. "," MATH120, MATH130, MATH136, or MATH140; or must have completed MATH220.   ",3,Flexible,MATH
MATH135 , Discrete Mathematics for Life Sciences ," Basic discrete mathematics, with emphasis on relevant models and techniques to the life sciences. ", Minimum grade of C- in MATH115; or must have math eligibility of MATH140 or higher; and math eligibility is based on the Math Placement Test.   ,4,Flexible,MATH
MATH136 , Calculus for Life Sciences ," Continuation of MATH135, including basic ideas of differential integral calculus, with emphasis on elementary techniques and applications to the life sciences. ", Minimum grade of C- in MATH135.   ,4,Hard,MATH
MATH140 , Calculus I ," Introduction to calculus, including functions, limits, continuity, derivatives and applications of the derivative, sketching of graphs of functions, definite and indefinite integrals, and calculation of area. The course is especially recommended for science, engineering and mathematics majors. ", Minimum grade of C- in MATH115. Or must have math eligibility of MATH140 or higher; and math eligibility is based on the Math Placement Test.   ,4,Flexible,MATH
MATH206 , Introduction to Matlab ," This course is intended to prepare students for subsequent courses requiring computation with MATLAB. Covers basics of MATLAB including simple commands, variables, solving equations, graphing differentiation and integration, matrices and vectors, functions, M-files and fundamentals of programming in the MATLAB environment. When offered in Winter and Summer terms, the course is offered in a format suitable for online distance learning. "," 1 course with a minimum grade of C- from (MATH136, MATH140). ",1,Hard,MATH
MATH212 , Elements of Numbers and Operations ," Reviews and extends topics of arithmetic and number theory related to the elementary school curriculum, particularly number systems and operations with natural numbers, integers, and rationals. ", Must have completed one year of college preparatory algebra.   ,3,Flexible,MATH
MATH213 , Elements of Geometry and Measurement ," Properties of geometric objects in two and three dimensions; parallel lines, curves and polygons; ratio, proportion, similarity; transformational geometry and measurement, constructions, justifications and proofs. ", MATH212.   ,3,Hard,MATH
MATH214 , Elements of Probability and Statistics , Permutations and combinations; probability; collecting and representing data; using statistics to analyze and interpret data. , MATH212.   ,3,Hard,MATH
MATH240 , Introduction to Linear Algebra ," Basic concepts of linear algebra: vector spaces, applications to line and plane geometry, linear equations and matrices, similar matrices, linear transformations, eigenvalues, determinants and quadratic forms. "," 1 course with a minimum grade of C- from (MATH131, MATH141).   ",4,Hard,MATH
MATH274 , History of Mathematics , An overview of aspects in the history of mathematics from its beginning in the concrete problem solving of ancient times through the development of abstraction in the 19th and 20th centuries. The course considers both mathematical ideas and the context in which they developed in various civilizations around the world. ," MATH120, MATH130, MATH136, or MATH140; or must have completed MATH220. ",3,Flexible,MATH
MATH310 , Introduction to Mathematical Proof ," To develop the students' ability to construct a rigorous proof of a mathematical claim. Students will also be made aware of mathematical results that are of interest to those wishing to analyze a particular mathematical model. Topics will be drawn from logic, set theory, structure of the number line, elementary topology, metric spaces, functions, sequences and continuity. "," Minimum grade of C- in MATH141; and must have completed or be concurrently enrolled in MATH240, MATH341, or MATH461; and must have completed or be concurrently enrolled in MATH241 or MATH340.  ",3,Flexible,MATH
MATH312 , Mathematical Reasoning and Proof for Pre-Service Middle School Teachers ," Reasoning and proof as addressed in the middle school curriculum. Topics include proportional reasoning, logic and proof, types of numbers, field axioms, Euclidean and non-Euclidean geometry. ", MATH212 and MATH213.   ,3,Hard,MATH
MATH314 ," Introduction to Probability, Data, Analysis and Statistics for Preservice Middle School Teachers "," Analysis of bivariate data, probability and randomness, law of large numbers, central limit theorem, probabilities for independent and dependent events, counting techniques, random variables and probability distributions, expected values, sampling distributions, and confidence intervals. ", MATH214.   ,3,Hard,MATH
MATH341 ," Multivariable Calculus, Linear Algebra, Differential Equations II (Honors) ", A continuation of MATH340. , Minimum grade of C- in MATH340.   ,4,Hard,MATH
MATH401 , Applications of Linear Algebra ," Various applications of linear algebra: theory of finite games, linear programming, matrix methods as applied to finite Markov chains, random walk, incidence matrices, graphs and directed graphs, networks and transportation problems. "," 1 course with a minimum grade of C- from (MATH461, MATH240, MATH341). ",3,Hard,MATH
MATH402 , Algebraic Structures ," For students having only limited experience with rigorous mathematical proofs. Parallels MATH403. Students planning graduate work in mathematics should take MATH403. Groups, rings, integral domains and fields, detailed study of several groups; properties of integers and polynomials. Emphasis is on the origin of the mathematical ideas studied and the logical structure of the subject. "," 1 course with a minimum grade of C- from (MATH240, MATH341, MATH461).   ",3,Hard,MATH
MATH403 , Introduction to Abstract Algebra ," Integers; groups, rings, integral domains, fields. "," 1 course with a minimum grade of C- from (MATH240, MATH461, MATH340); and 1 course with a minimum grade of C- from (MATH341, MATH241); and minimum grade of C- in MATH310. Or students who have taken courses with comparable content may contact the department.  ",3,Flexible,MATH
MATH404 , Field Theory ," Algebraic and transcendental elements, Galois theory, constructions with straight-edge and compass, solutions of equations of low degrees, insolubility of the quintic equation, Sylow theorems, fundamental theorem of finite Abelian groups. ", Minimum grade of C- in MATH403. ,3,Hard,MATH
MATH405 , Linear Algebra , An abstract treatment of finite dimensional vector spaces. Linear transformations and their invariants. ," 1 course with a minimum grade of C- from (MATH240, MATH461, MATH341); and minimum grade of C- in MATH310. ",3,Hard,MATH
MATH406 , Introduction to Number Theory ," Integers, divisibility, prime numbers, unique factorization, congruences, quadratic reciprocity, Diophantine equations and arithmetic functions. "," 1 course with a minimum grade of C- from (MATH240, MATH241, MATH246, MATH340, MATH341, MATH461); or permission of CMNS-Mathematics department. ",3,Flexible,MATH
MATH410 , Advanced Calculus I ," First semester of a year course. Subjects covered during the year are: sequences and series of numbers, continuity and differentiability of real valued functions of one variable, the Riemann integral, sequences of functions and power series. Functions of several variables including partial derivatives, multiple integrals, line and surface integrals. The implicit function theorem. "," 1 course with a minimum grade of C- from (MATH240, MATH461, MATH341); and 1 course with a minimum grade of C- from (MATH340, MATH241); and minimum grade of C- in MATH310. Or students who have taken courses with comparable content may contact the department. ",3,Flexible,MATH
MATH411 , Advanced Calculus II , Continuation of MATH410. , Minimum grade of C- in MATH410; and permission of CMNS-Mathematics department.   ,3,Hard,MATH
MATH416 , Applied Harmonic Analysis: An Introduction to Signal Processing ," Introduces students to the mathematical concepts arising in signal analysis from the applied harmonic analysis point of view. Topics include applied linear algebra, Fourier series, discrete Fourier transform, Fourier transform, Shannon Sampling Theorem, wavelet bases, multiresolution analysis, and discrete wavelet transform. "," Minimum grade of C- in MATH141; and 1 course with a minimum grade of C- from (MATH240, MATH461, MATH341); and familiarity with MATLAB is required. ",3,Hard,MATH
MATH420 , Mathematical Modeling ," The course will develop skills in data-driven mathematical modeling through individual and group projects. Emphasis will be placed on both analytical and computational methods, and on effective oral and written presentation of results. "," 1 course with a minimum grade of C- from (MATH240, MATH461, MATH341); and 1 course with a minimum grade of C- from (MATH241, MATH340); and 1 course with a minimum grade of C- from (MATH246, MATH341); and minimum grade of C- in STAT400. And 1 course with a minimum grade of C- from (CMSC106, CMSC131); or students who have taken courses with comparable content may contact the department.  ",3,Flexible,MATH
MATH424 , Introduction to the Mathematics of Finance ," Introduction to the mathematical models used in finance and economics with emphasis on pricing derivative instruments. Designed for students in mathematics, computer science, engineering, finance and physics. Financial markets and instruments; elements from basic probability theory; interest rates and present value analysis; normal distribution of stock returns; option pricing; arbitrage pricing theory; the multiperiod binomial model; the Black-Scholes option pricing formula; proof of the Black-Scholes option pricing formula and applications; trading and hedging of options; Delta hedging; utility functions and portfolio theory; elementary stochastic calculus; Ito's Lemma; the Black-Scholes equation and its conversion to the heat equation. "," Minimum grade of C- in MATH141; and 1 course with a minimum grade of C- from (STAT400, STAT410); and permission of CMNS-Mathematics department.   ",3,Hard,MATH
MATH430 , Euclidean and Non-Euclidean Geometries , Hilbert's axioms for Euclidean geometry. Neutral geometry: the consistency of the hyperbolic parallel postulate and the inconsistency of the elliptic parallel postulate with neutral geometry. Models of hyperbolic geometry. Existence and properties of isometries. ," 1 course with a minimum grade of C- from (MATH240, MATH341, MATH461). ",3,Hard,MATH
MATH437 , Differential Forms ," Introduction to differential forms and their applications, and unites the fundamental theorems of multivariable calculus in a general Stokes Theorem that is valid in great generality. It develops this theory and technique to perform calculations in analysis and geometry. Topics include an introduction to topological spaces, the Gauss-Bonnet Theorem, Gauss's formula for the linking number, and the Cauchy Integral Theorem. Applications include Maxwell's equations of electromagnetism, connections and gauge theory, and symplectic geometry and Hamiltonian dynamics. "," 1 course with a minimum grade of C- from (MATH241, MATH340); and 1 course with a minimum grade of C- from (MATH240, MATH341, MATH461).   ",3,Hard,MATH
MATH446 , Axiomatic Set Theory ," Development of a system of axiomatic set theory, choice principles, induction principles, ordinal arithmetic including discussion of cancellation laws, divisibility, canonical expansions, cardinal arithmetic including connections with the axiom of choice, Hartog's theorem, Konig's theorem, properties of regular, singular and inaccessible cardinals. "," 1 course with a minimum grade of C- from (MATH403, MATH410). ",3,Hard,MATH
MATH456 , Cryptography ," The theory, application, and implementation of mathematical techniques used to secure modern communications. Topics include symmetric and public-key encryption, message integrity, hash functions, block-cipher design and analysis, number theory, and digital signatures. "," (CMSC106, CMSC131, or ENEE150; or equivalent programming experience); and (2 courses from (CMSC330, CMSC351, ENEE324, or ENEE380); or any one of these courses and a 400-level MATH course, or two 400-level MATH courses). Or permission of instructor.   ",3,Flexible,MATH
MATH461 , Linear Algebra for Scientists and Engineers ," Basic concepts of linear algebra. This course is similar to MATH 240, but with more extensive coverage of the topics needed in applied linear algebra: change of basis, complex eigenvalues, diagonalization, the Jordan canonical form. ", Minimum grade of C- in MATH141; and must have completed any MATH or STAT course with a prerequisite of MATH141.   ,3,Flexible,MATH
MATH462 , Partial Differential Equations ," Linear spaces and operators, orthogonality, Sturm-Liouville problems and eigenfunction expansions for ordinary differential equations. Introduction to partial differential equations, including the heat equation, wave equation and Laplace's equation. Boundary value problems, initial value problems and initial-boundary value problems. "," 1 course with a minimum grade of C- from (MATH241, MATH340); and 1 course with a minimum grade of C- from (MATH246, MATH341). ",3,Hard,MATH
MATH463 , Complex Variables ," The algebra of complex numbers, analytic functions, mapping properties of the elementary functions. Cauchy integral formula. Theory of residues and application to evaluation of integrals. Conformal mapping. "," 1 course with a minimum grade of C- from (MATH241, MATH340). ",3,Hard,MATH
